cv.TM_CCOEFF
name,min_val,max_val
im0,-2192819.5,3778146.75
im1,-2135194.0,3776738.0
im2,-2115401.0,3792149.75
im3,-2094220.625,3819722.25
im4,-1980538.75,3817125.0
im5,-1898263.625,3767435.75
im6,-1900617.0,3932137.0
im7,-1897477.125,4007662.75
im8,-1893336.125,4001758.5
im9,-1893402.125,3910597.0
im10,-1898309.625,3861103.25
im11,-1901209.25,3796950.0
im12,-1901001.5,3672930.25
im13,-1903998.25,3618625.75
im14,-2286776.25,3520812.75
im15,-2687244.25,3592776.75
im16,-3241080.25,3719228.75
im17,-3406374.0,3713976.75
im18,-3415001.5,3737826.25
im19,-3396423.5,3723996.0
im20,-3446555.5,3716589.5
im21,-3446410.5,3713169.75
im22,-3466263.25,3707793.5
im23,-3493276.75,3677882.75
im24,-3535809.0,3648509.5
im25,-3583826.5,3617085.75
im26,-3608422.5,3605618.75
im27,-3631740.0,3619819.25
im28,-3653234.25,3628639.5
im29,-3671327.0,3651656.5
im30,-3190969.25,3636022.75
im31,-2584410.75,3683126.75
im32,-2215992.0,3732635.75
im33,-2595194.5,3446220.75
im34,-2489110.75,3484237.25
im35,-2419422.75,3545827.0
im36,-2309998.5,3628131.25
im37,-2308887.75,3645797.0
im38,-2333572.75,3644800.0
im39,-2322154.5,3638813.75
im40,-2333538.5,3615112.0
im41,-2330276.75,3596717.75
im42,-2321983.0,3593333.0
im43,-2313013.5,3585345.0
im44,-2299410.25,3568946.0
im45,-2287529.75,3570859.5
im46,-2279221.75,3576188.75
im47,-2280686.25,3574115.0
im48,-2270346.0,3580932.25
im49,-2267010.0,3585132.75
im50,-2253107.25,3583792.0
im51,-2239976.0,3578296.25
im52,-2230623.5,3587488.0
im53,-2238440.75,3595042.5
im54,-2236799.75,3601470.25
im55,-2244269.5,3623109.0
im56,-2242672.25,3639426.0
im57,-2240975.5,3641470.0
im58,-2244865.25,3634843.5
im59,-2244045.0,3636499.75
im60,-2265691.75,3645334.0
im61,-2269493.75,3645702.5
im62,-2286291.75,3647807.25
im63,-2300133.25,3658808.75
im64,-2332905.25,3643822.5
im65,-2344419.0,3640048.0
im66,-2358374.25,3643325.5
im67,-2355485.5,3642258.5
im68,-2348291.25,3650589.0
